"Driver.ID","Vehicle.ID","Vehicle.Model.Year"
30661,56,2005
32104,81,2005
3402,48,2005
3808,16,2005
4808,71,2005
5170,46,2005
6292,33,2005
6594,78,2005
6675,22,2005
7488,14,2005
7736,25,2005
9315,3,2005
9426,66,2005
9447,1,2005
9491,27,2005
9571,78,2005
9626,80,2005
9665,1,2005
9714,57,2005
10340,56,2005
10700,75,2005
10933,34,2005
10940,72,2005
10954,30,2005
10966,39,2005
11188,51,2005
11845,10,2005
12142,30,2005
12702,68,2005
13278,69,2005
13496,2,2005
13570,63,2005
14619,65,2005
14891,40,2005
15959,20,2005
15961,20,2005
15994,11,2005
16017,49,2005
16080,49,2005
16355,6,2005
16713,85,2005
17302,87,2005
18135,65,2005
18184,34,2005
18591,79,2005
18839,73,2005
18915,40,2005
19098,56,2005
19212,57,2005
19391,83,2005
19617,60,2005
19813,17,2005
20276,51,2005
20397,48,2005
20877,70,2005
21152,66,2005
21345,34,2005
21598,49,2005
22245,79,2005
22528,55,2005
22693,48,2005
22771,52,2005
23147,68,2005
23267,44,2005
23388,84,2005
23833,68,2005
24571,69,2005
25340,60,2005
25994,75,2005
26257,38,2005
26293,70,2005
26962,82,2005
27073,42,2005
27077,52,2005
27452,74,2005
27859,86,2005
28143,43,2005
28512,69,2005
28765,59,2005
28796,45,2005
28856,42,2005
28880,81,2005
29556,66,2005
29564,36,2005
29588,1,2005
29631,29,2005
29702,32,2005
29844,19,2005
30284,18,2005
30645,19,2005
31104,54,2005
31740,75,2005
31747,63,2005
32013,30,2005
32118,81,2005
14714,32,2005
30111,79,2005
3899,78,2005
5122,55,2005
6089,15,2005
6186,62,2005
7401,52,2005
8563,12,2005
13690,68,2005
20280,77,2005
22725,54,2005
22907,76,2005
25990,64,2005
26910,52,2005
28962,70,2005
30767,46,2005
3334,64,2005
3699,64,2005
4083,78,2005
5684,62,2005
5709,43,2005
5769,63,2005
6166,34,2005
6970,68,2005
7783,48,2005
8277,55,2005
9002,58,2005
9122,43,2005
9643,50,2005
9718,29,2005
9775,44,2005
10761,66,2005
12057,38,2005
12112,39,2005
12913,80,2005
12991,52,2005
14021,60,2005
14067,75,2005
14795,66,2005
15648,45,2005
15999,51,2005
16811,44,2005
17475,68,2005
18497,81,2005
18546,48,2005
18555,5,2005
18605,57,2005
18788,64,2005
19347,46,2005
19735,79,2005
20139,7,2005
20409,55,2005
20596,60,2005
21155,41,2005
21488,24,2005
21993,30,2005
22110,67,2005
22358,43,2005
22507,84,2005
22821,66,2005
23041,38,2005
23245,75,2005
23279,49,2005
23524,15,2005
23554,47,2005
23889,71,2005
24029,81,2005
24258,79,2005
24475,77,2005
24700,70,2005
24777,20,2005
25457,72,2005
26362,49,2005
26474,16,2005
26491,21,2005
26912,36,2005
27185,53,2005
27460,74,2005
27860,82,2005
28344,68,2005
29073,24,2005
29513,59,2005
29809,52,2005
30328,75,2005
30642,76,2005
31049,22,2005
31087,39,2005
31127,69,2005
32185,76,2005
32727,11,2005
32734,32,2005
32862,66,2005
32973,16,2005
15519,34,2005
20537,63,2005
3234,40,2005
5573,74,2005
7905,75,2005
7991,61,2005
8412,86,2005
10907,31,2005
13624,10,2005
13730,41,2005
16451,50,2005
17519,52,2005
18924,53,2005
19687,10,2005
20603,42,2005
24677,46,2005
26487,11,2005
30540,58,2005
31661,72,2005
3319,66,2005
4025,20,2005
4667,25,2005
4895,48,2005
5074,38,2005
5446,6,2005
6306,16,2005
6388,41,2005
6624,72,2005
7116,34,2005
7965,34,2005
9507,78,2005
9579,50,2005
10014,15,2005
10059,52,2005
10082,82,2005
10488,81,2005
10495,40,2005
11014,32,2005
11029,26,2005
11657,56,2005
11810,75,2005
12033,72,2005
12132,44,2005
12859,81,2005
13211,63,2005
13381,80,2005
13546,22,2005
14858,76,2005
15798,29,2005
16143,50,2005
16161,34,2005
16715,50,2005
16786,67,2005
16843,83,2005
16865,84,2005
17016,59,2005
17721,44,2005
17746,72,2005
18641,87,2005
19348,71,2005
19380,65,2005
19548,81,2005
20454,70,2005
20723,57,2005
21018,49,2005
22442,18,2005
23239,38,2005
24416,20,2005
25095,55,2005
25380,84,2005
25590,39,2005
25658,77,2005
26215,9,2005
26397,57,2005
26477,18,2005
27045,78,2005
27778,67,2005
27847,72,2005
27848,58,2005
27892,84,2005
27937,6,2005
28099,12,2005
28144,14,2005
28314,19,2005
29495,56,2005
30467,15,2005
31128,68,2005
31643,80,2005
31891,29,2005
31903,78,2005
32226,80,2005
32671,67,2005
32854,67,2005
11865,74,2005
23675,10,2005
3494,81,2005
4078,31,2005
5056,75,2005
6246,51,2005
6353,46,2005
7043,32,2005
16183,78,2005
16746,87,2005
18685,69,2005
21738,70,2005
22003,79,2005
25261,5,2005
26364,1,2005
27802,45,2005
32301,62,2005
3335,34,2005
3968,62,2005
4293,12,2005
5174,5,2005
5533,82,2005
7136,31,2005
7302,64,2005
7562,18,2005
7616,75,2005
8414,61,2005
9975,70,2005
10460,33,2005
10939,44,2005
11651,45,2005
11951,17,2005
11986,74,2005
12856,54,2005
12975,60,2005
13724,84,2005
13969,17,2005
14146,22,2005
14481,65,2005
15233,84,2005
16191,37,2005
16546,74,2005
17389,26,2005
18278,36,2005
18324,33,2005
19191,69,2005
19963,84,2005
20728,70,2005
20745,74,2005
20921,80,2005
20922,7,2005
22189,32,2005
22377,10,2005
23110,23,2005
23508,55,2005
23637,55,2005
23717,73,2005
24015,22,2005
24989,61,2005
25458,75,2005
25475,79,2005
26079,76,2005
26266,20,2005
26714,65,2005
26801,81,2005
27596,81,2005
28088,80,2005
28417,19,2005
28646,80,2005
29271,67,2005
29426,79,2005
29504,70,2005
29645,40,2005
30287,83,2005
31319,38,2005
31378,30,2005
31875,52,2005
31944,61,2005
32518,86,2005
32686,57,2005
16098,23,2005
22392,78,2005
31328,26,2005
4464,72,2005
8622,65,2005
9704,35,2005
11332,59,2005
12725,30,2005
12908,36,2005
17985,18,2005
20399,44,2005
21040,45,2005
21270,13,2005
21486,42,2005
21988,12,2005
23269,61,2005
23990,52,2005
24349,42,2005
28041,79,2005
30151,78,2005
3613,55,2005
4041,83,2005
5241,1,2005
5522,77,2005
5626,54,2005
5658,64,2005
5809,27,2005
5993,52,2005
6093,23,2005
6520,75,2005
7119,60,2005
7274,22,2005
7728,79,2005
8297,42,2005
8682,65,2005
8811,78,2005
8831,20,2005
9143,66,2005
9664,71,2005
9962,49,2005
10037,85,2005
10211,36,2005
10535,47,2005
11335,62,2005
12059,83,2005
12386,61,2005
12640,67,2005
12693,68,2005
13125,80,2005
14072,75,2005
14115,68,2005
14143,65,2005
14175,71,2005
14298,79,2005
14306,86,2005
14457,56,2005
14523,58,2005
14876,62,2005
15728,68,2005
15943,69,2005
15988,56,2005
16044,65,2005
16145,61,2005
16282,43,2005
16479,87,2005
16797,49,2005
16844,46,2005
16965,52,2005
17152,48,2005
17671,85,2005
17843,43,2005
18075,56,2005
18091,76,2005
18364,71,2005
19013,82,2005
19480,84,2005
19599,69,2005
20202,58,2005
21654,32,2005
21901,65,2005
22090,80,2005
22207,47,2005
22232,80,2005
22485,39,2005
23024,49,2005
23154,80,2005
23693,70,2005
24481,54,2005
25181,76,2005
25431,71,2005
25612,39,2005
25899,76,2005
26140,5,2005
26166,74,2005
26420,64,2005
27120,10,2005
27476,43,2005
28277,22,2005
28592,57,2005
28850,87,2005
28958,52,2005
29059,32,2005
29411,51,2005
30166,63,2005
31057,83,2005
32147,58,2005
3925,62,2005
6020,55,2005
14493,67,2005
3606,73,2005
3782,61,2005
5447,79,2005
5857,44,2005
8793,54,2005
9415,65,2005
10631,56,2005
11946,2,2005
12501,59,2005
13314,87,2005
13319,82,2005
16701,78,2005
17567,34,2005
19075,42,2005
22930,77,2005
23238,53,2005
27058,74,2005
28933,85,2005
30495,71,2005
30600,57,2005
3201,38,2005
3393,25,2005
4074,56,2005
4558,65,2005
5323,74,2005
5354,65,2005
5708,75,2005
6676,70,2005
6974,65,2005
7170,58,2005
7676,54,2005
7931,40,2005
8183,76,2005
8482,70,2005
9761,57,2005
10503,49,2005
10547,77,2005
11546,66,2005
12815,25,2005
12946,16,2005
13733,54,2005
14529,86,2005
15189,61,2005
15398,67,2005
15535,15,2005
15636,10,2005
16038,20,2005
16362,43,2005
16702,30,2005
16842,51,2005
16960,32,2005
17012,82,2005
17291,44,2005
17337,61,2005
17376,75,2005
17576,68,2005
18312,54,2005
18677,41,2005
19590,72,2005
20529,55,2005
20647,30,2005
20923,18,2005
21672,27,2005
22578,14,2005
22705,65,2005
22780,52,2005
23112,68,2005
23677,79,2005
24362,56,2005
24483,33,2005
24880,82,2005
25193,25,2005
25394,33,2005
25688,3,2005
25732,51,2005
25926,87,2005
25987,22,2005
26090,42,2005
27505,47,2005
28040,54,2005
28286,79,2005
29480,52,2005
29700,76,2005
31054,49,2005
31541,73,2005
31886,65,2005
32119,58,2005
32162,15,2005
32570,5,2005
32684,45,2005
32769,26,2005
8858,51,2005
5765,59,2005
6023,61,2005
6379,11,2005
9363,83,2005
9917,33,2005
17307,55,2005
17911,19,2005
18030,77,2005
18722,28,2005
24215,6,2005
26241,73,2005
29109,59,2005
29410,37,2005
30357,25,2005
32114,70,2005
3506,78,2005
3856,57,2005
3867,13,2005
4232,85,2005
5008,74,2005
5898,82,2005
5944,72,2005
6699,12,2005
7130,66,2005
7787,51,2005
7867,71,2005
7896,55,2005
8359,62,2005
8715,78,2005
9337,35,2005
9552,73,2005
9639,50,2005
9736,57,2005
10030,54,2005
10132,78,2005
10351,19,2005
10849,55,2005
11033,58,2005
11410,34,2005
12165,44,2005
12290,52,2005
12563,57,2005
13462,40,2005
14011,51,2005
14440,18,2005
15090,28,2005
15231,8,2005
16229,79,2005
16272,75,2005
16545,85,2005
16760,65,2005
17553,45,2005
18667,87,2005
18759,53,2005
19121,52,2005
20464,48,2005
21229,50,2005
22365,79,2005
22505,50,2005
22536,41,2005
22864,49,2005
22915,45,2005
23610,73,2005
23755,82,2005
24027,71,2005
24265,37,2005
25207,53,2005
25756,70,2005
26063,34,2005
26513,29,2005
27096,53,2005
27949,87,2005
28101,16,2005
30199,47,2005
30289,62,2005
30305,51,2005
31116,45,2005
31165,86,2005
31259,78,2005
31685,53,2005
31977,79,2005
32288,10,2005
11041,38,2005
5267,71,2005
8916,32,2005
10666,44,2005
13251,75,2005
13537,64,2005
14149,57,2005
14935,40,2005
15774,14,2005
20173,41,2005
23045,60,2005
23337,58,2005
25865,61,2005
26457,38,2005
26492,74,2005
28028,70,2005
30394,73,2005
31198,79,2005
32820,21,2005
3449,78,2005
3633,76,2005
3650,33,2005
3684,86,2005
3757,46,2005
4126,13,2005
4230,76,2005
5380,73,2005
5673,66,2005
6041,38,2005
6372,80,2005
6427,18,2005
6438,76,2005
8261,47,2005
8609,82,2005
8904,78,2005
9465,70,2005
10459,42,2005
11008,51,2005
12024,37,2005
12421,76,2005
14094,79,2005
14717,72,2005
14740,38,2005
15078,75,2005
15201,77,2005
15251,78,2005
15319,56,2005
16175,67,2005
16758,34,2005
17240,56,2005
17249,32,2005
17535,53,2005
17786,51,2005
18097,43,2005
18351,1,2005
18517,78,2005
18537,62,2005
18681,50,2005
19138,62,2005
20181,84,2005
20591,71,2005
20697,82,2005
20891,74,2005
21334,43,2005
21375,10,2005
23009,75,2005
23170,81,2005
23529,70,2005
23559,59,2005
23935,82,2005
24038,3,2005
24473,27,2005
24478,52,2005
24781,70,2005
24800,78,2005
24925,2,2005
25027,77,2005
25482,17,2005
26752,64,2005
27519,57,2005
27903,76,2005
28459,31,2005
29265,53,2005
29786,49,2005
30099,66,2005
30418,38,2005
31186,58,2005
31324,49,2005
32290,80,2005
32561,64,2005
6250,9,2005
17875,84,2005
24716,32,2005
3009,49,2005
7383,81,2005
8538,62,2005
9290,1,2005
10725,52,2005
12928,69,2005
14247,66,2005
14336,80,2005
16583,64,2005
21408,56,2005
25392,43,2005
26325,73,2005
30983,70,2005
31023,69,2005
32658,48,2005
3111,25,2005
3258,79,2005
3431,36,2005
4225,71,2005
4239,59,2005
4877,82,2005
5003,60,2005
5818,74,2005
7364,41,2005
8258,49,2005
8496,79,2005
8684,18,2005
9023,54,2005
10572,85,2005
11553,62,2005
11942,82,2005
12017,55,2005
12214,49,2005
12663,49,2005
12873,76,2005
12886,52,2005
13427,9,2005
13932,80,2005
14513,47,2005
17226,57,2005
17429,80,2005
17589,50,2005
17767,14,2005
17815,81,2005
18229,86,2005
18739,8,2005
19155,79,2005
19235,14,2005
19731,81,2005
20471,41,2005
21683,44,2005
21865,74,2005
21876,3,2005
22540,58,2005
23023,15,2005
23047,32,2005
23609,47,2005
24890,75,2005
24986,80,2005
25075,73,2005
25337,80,2005
25831,60,2005
26467,67,2005
26547,69,2005
26748,81,2005
26790,70,2005
27445,55,2005
27457,81,2005
27551,75,2005
27659,58,2005
27678,82,2005
28382,75,2005
28964,20,2005
29043,3,2005
29149,3,2005
29965,84,2005
30274,52,2005
30301,55,2005
31085,70,2005
31126,61,2005
32096,58,2005
32328,46,2005
32590,32,2005
4188,60,2005
5937,72,2005
7369,84,2005
7624,35,2005
7996,22,2005
8009,38,2005
8506,82,2005
9022,86,2005
11928,61,2005
13551,76,2005
14774,76,2005
15039,8,2005
15047,73,2005
17395,12,2005
17883,8,2005
20953,21,2005
21802,87,2005
23712,86,2005
26194,71,2005
28881,63,2005
29901,82,2005
30182,79,2005
31741,83,2005
31909,43,2005
32895,72,2005
3528,24,2005
3542,59,2005
4088,40,2005
4129,87,2005
4272,74,2005
4493,34,2005
4764,67,2005
4968,70,2005
6076,55,2005
6217,68,2005
6915,77,2005
7983,38,2005
8515,80,2005
8696,74,2005
8726,48,2005
8755,61,2005
9029,54,2005
9062,54,2005
9652,41,2005
9791,10,2005
9859,60,2005
10199,1,2005
10877,72,2005
12062,73,2005
12205,84,2005
12637,18,2005
12722,31,2005
12739,48,2005
12885,4,2005
13037,73,2005
13078,20,2005
13275,55,2005
13798,71,2005
13894,68,2005
14127,75,2005
14945,49,2005
14950,62,2005
15006,59,2005
15188,59,2005
15476,40,2005
15538,85,2005
15694,38,2005
15761,81,2005
16374,55,2005
16781,68,2005
17268,34,2005
17446,61,2005
17593,34,2005
17643,61,2005
17751,20,2005
17769,87,2005
18037,87,2005
18516,59,2005
19198,59,2005
19471,84,2005
19833,48,2005
20089,66,2005
20793,38,2005
21183,57,2005
21829,50,2005
22197,77,2005
22459,80,2005
22529,71,2005
23002,3,2005
23519,63,2005
23800,71,2005
24351,65,2005
24952,27,2005
25002,51,2005
25419,81,2005
25774,3,2005
26622,35,2005
27356,10,2005
28023,17,2005
28146,78,2005
28206,54,2005
28536,44,2005
28991,21,2005
29226,69,2005
29811,47,2005
29975,79,2005
30327,35,2005
30354,26,2005
30544,13,2005
30805,1,2005
30926,71,2005
30936,47,2005
31221,50,2005
31374,66,2005
31539,47,2005
31968,42,2005
32654,47,2005
4123,81,2005
4146,60,2005
7071,66,2005
9439,51,2005
9749,49,2005
10534,83,2005
10963,17,2005
11409,50,2005
12493,58,2005
13195,55,2005
13364,67,2005
13579,70,2005
15430,3,2005
18615,30,2005
19399,44,2005
19456,40,2005
21066,70,2005
22893,52,2005
23565,49,2005
24549,56,2005
25060,54,2005
25952,70,2005
26683,40,2005
27060,51,2005
29636,52,2005
29819,8,2005
32664,13,2005
3832,55,2005
3945,20,2005
4578,55,2005
4793,55,2005
4943,82,2005
5682,55,2005
5697,60,2005
5740,35,2005
5897,70,2005
6067,76,2005
6170,58,2005
6383,77,2005
6750,49,2005
6953,80,2005
7108,28,2005
8109,83,2005
8394,54,2005
8410,55,2005
9340,77,2005
9560,81,2005
9877,77,2005
10449,80,2005
10818,44,2005
11392,83,2005
12634,2,2005
12864,63,2005
13284,65,2005
13397,61,2005
13898,48,2005
14461,79,2005
14611,65,2005
14627,65,2005
14800,63,2005
15736,81,2005
15812,49,2005
16287,44,2005
16737,81,2005
16875,81,2005
17004,49,2005
17474,45,2005
17988,85,2005
18100,48,2005
18152,17,2005
18524,32,2005
18939,36,2005
19143,56,2005
19649,72,2005
20137,61,2005
20880,46,2005
21225,5,2005
21496,51,2005
21634,40,2005
21950,59,2005
22043,69,2005
22879,87,2005
23894,54,2005
23974,31,2005
24593,33,2005
25262,81,2005
25268,31,2005
25843,54,2005
26511,44,2005
27079,86,2005
27134,70,2005
27495,38,2005
27688,80,2005
27992,70,2005
29475,65,2005
29479,68,2005
30634,68,2005
31946,79,2005
32146,86,2005
32216,65,2005
32953,82,2005
5076,77,2005
12542,14,2005
32023,70,2005
3054,43,2005
9965,64,2005
11045,75,2005
11508,75,2005
12189,9,2005
14450,45,2005
17369,60,2005
18302,79,2005
32454,2,2005
3485,85,2005
3766,50,2005
3989,45,2005
4515,17,2005
4775,41,2005
4810,48,2005
4974,66,2005
5599,55,2005
6172,82,2005
7559,56,2005
8025,79,2005
8434,62,2005
8620,40,2005
8863,81,2005
9709,77,2005
9753,32,2005
10512,17,2005
10816,44,2005
11905,75,2005
12006,28,2005
12548,76,2005
13957,38,2005
15881,72,2005
16107,36,2005
16290,69,2005
16359,20,2005
16609,71,2005
17031,23,2005
17449,66,2005
17674,20,2005
18513,52,2005
18709,6,2005
18878,70,2005
20028,3,2005
20033,83,2005
20340,81,2005
20362,56,2005
20451,50,2005
20515,5,2005
20694,35,2005
20755,21,2005
20822,33,2005
21842,56,2005
22008,63,2005
22163,50,2005
22169,32,2005
22324,68,2005
23270,72,2005
23312,51,2005
23339,3,2005
23511,56,2005
23568,49,2005
24356,4,2005
25305,86,2005
25521,55,2005
26343,50,2005
26452,52,2005
26724,70,2005
27288,48,2005
27347,59,2005
27840,62,2005
29751,65,2005
30510,49,2005
31473,29,2005
31534,44,2005
31645,83,2005
31717,49,2005
31955,57,2005
32925,55,2005
20801,5,2005
5728,87,2005
7629,55,2005
8625,50,2005
10706,69,2005
11578,32,2005
11679,77,2005
11682,69,2005
12668,43,2005
13472,47,2005
14447,83,2005
16134,15,2005
17184,16,2005
21032,8,2005
21411,67,2005
21464,22,2005
