Location ID,ZIP,Primary_City,State,County,Estimated_population_2013
247,95008,Campbell,CA,Santa Clara County,"39,269"
297,94901,San Rafael,CA,Marin County,"36,878"
9,90250,Hawthorne,CA,Los Angeles County,"80,909"
31,92345,Hesperia,CA,San Bernardino County,"65,019"
54,92707,Santa Ana,CA,Orange County,"59,663"
66,91770,Rosemead,CA,Los Angeles County,"56,530"
67,93535,Lancaster,CA,Los Angeles County,"56,335"
69,94509,Antioch,CA,Contra Costa County,"55,659"
98,91762,Ontario,CA,San Bernardino County,"51,740"
100,93063,Simi Valley,CA,Ventura County,"51,726"
119,94591,Vallejo,CA,Solano County,"50,009"
120,93306,Bakersfield,CA,Kern County,"49,794"
139,91343,North Hills,CA,Los Angeles County,"47,425"
153,92833,Fullerton,CA,Orange County,"46,751"
179,90638,La Mirada,CA,Los Angeles County,"43,959"
188,92130,San Diego,CA,San Diego County,"43,193"
203,92705,Santa Ana,CA,Orange County,"42,157"
207,91406,Van Nuys,CA,Los Angeles County,"42,022"
216,92028,Fallbrook,CA,San Diego County,"41,168"
254,94109,San Francisco,CA,San Francisco County,"39,127"
265,94546,Castro Valley,CA,Alameda County,"38,489"
13,92336,Fontana,CA,San Bernardino County,"77,592"
53,92114,San Diego,CA,San Diego County,"59,702"
61,95123,San Jose,CA,Santa Clara County,"57,815"
75,94015,Daly City,CA,San Mateo County,"54,895"
129,93309,Bakersfield,CA,Kern County,"48,978"
138,94513,Brentwood,CA,Contra Costa County,"47,487"
159,94550,Livermore,CA,Alameda County,"46,035"
169,90221,Compton,CA,Los Angeles County,"45,086"
180,91320,Newbury Park,CA,Ventura County,"43,893"
198,93458,Santa Maria,CA,Santa Barbara County,"42,507"
202,94566,Pleasanton,CA,Alameda County,"42,158"
209,92879,Corona,CA,Riverside County,"41,608"
238,90016,Los Angeles,CA,Los Angeles County,"39,726"
245,92084,Vista,CA,San Diego County,"39,339"
249,92410,San Bernardino,CA,San Bernardino County,"39,252"
258,95628,Fair Oaks,CA,Sacramento County,"38,978"
266,94531,Antioch,CA,Contra Costa County,"38,379"
273,90241,Downey,CA,Los Angeles County,"38,110"
283,91733,South El Monte,CA,Los Angeles County,"37,675"
10,92154,San Diego,CA,San Diego County,"80,358"
16,91342,Sylmar,CA,Los Angeles County,"77,346"
19,95076,Watsonville,CA,Santa Cruz County,"73,953"
42,94533,Fairfield,CA,Solano County,"61,596"
64,90022,Los Angeles,CA,Los Angeles County,"56,755"
84,92562,Murrieta,CA,Riverside County,"53,431"
93,91732,El Monte,CA,Los Angeles County,"52,470"
104,95340,Merced,CA,Merced County,"51,634"
142,90744,Wilmington,CA,Los Angeles County,"47,073"
165,91764,Ontario,CA,San Bernardino County,"45,296"
218,91352,Sun Valley,CA,Los Angeles County,"41,087"
219,92626,Costa Mesa,CA,Orange County,"41,047"
226,94116,San Francisco,CA,San Francisco County,"40,433"
252,95120,San Jose,CA,Santa Clara County,"39,164"
269,95831,Sacramento,CA,Sacramento County,"38,266"
271,95136,San Jose,CA,Santa Clara County,"38,193"
280,95207,Stockton,CA,San Joaquin County,"37,980"
479,92831,Fullerton,CA,Orange County,"28,199"
482,92841,Garden Grove,CA,Orange County,"28,034"
487,91321,Newhall,CA,Los Angeles County,"27,923"
496,95301,Atwater,CA,Merced County,"27,725"
501,95660,North Highlands,CA,Sacramento County,"27,616"
510,90274,Palos Verdes Peninsula,CA,Los Angeles County,"27,345"
542,93004,Ventura,CA,Ventura County,"25,905"
559,92116,San Diego,CA,San Diego County,"25,241"
577,90746,Carson,CA,Los Angeles County,"24,599"
589,92103,San Diego,CA,San Diego County,"24,218"
5,92335,Fontana,CA,San Bernardino County,"82,569"
22,92376,Rialto,CA,San Bernardino County,"70,686"
60,95014,Cupertino,CA,Santa Clara County,"57,835"
68,95624,Elk Grove,CA,Sacramento County,"55,670"
76,92021,El Cajon,CA,San Diego County,"54,814"
83,91402,Panorama City,CA,Los Angeles County,"53,526"
91,90026,Los Angeles,CA,Los Angeles County,"52,678"
123,90019,Los Angeles,CA,Los Angeles County,"49,430"
133,90004,Los Angeles,CA,Los Angeles County,"48,321"
134,92056,Oceanside,CA,San Diego County,"48,106"
177,92020,El Cajon,CA,San Diego County,"44,171"
190,94583,San Ramon,CA,Contra Costa County,"43,144"
204,90247,Gardena,CA,Los Angeles County,"42,096"
255,95616,Davis,CA,Yolo County,"39,092"
267,93455,Santa Maria,CA,Santa Barbara County,"38,367"
286,90242,Downey,CA,Los Angeles County,"37,360"
567,92629,Dana Point,CA,Orange County,"24,939"
21,92503,Riverside,CA,Riverside County,"71,856"
27,90044,Los Angeles,CA,Los Angeles County,"68,666"
88,92646,Huntington Beach,CA,Orange County,"52,992"
246,93010,Camarillo,CA,Ventura County,"39,308"
291,92009,Carlsbad,CA,San Diego County,"37,036"
561,95482,Ukiah,CA,Mendocino County,"25,177"
565,92240,Desert Hot Springs,CA,Riverside County,"24,991"
46,92703,Santa Ana,CA,Orange County,"60,877"
70,95127,San Jose,CA,Santa Clara County,"55,355"
78,91761,Ontario,CA,San Bernardino County,"54,539"
85,92708,Fountain Valley,CA,Orange County,"53,324"
102,93906,Salinas,CA,Monterey County,"51,688"
