Location ID,ZIP,Primary_City,State,County,Estimated_population_2013
373,92236,Coachella,CA,Riverside County,"32,502"
389,92078,San Marcos,CA,San Diego County,"31,760"
401,90804,Long Beach,CA,Los Angeles County,"31,078"
437,95662,Orangevale,CA,Sacramento County,"30,006"
485,95821,Sacramento,CA,Sacramento County,"27,968"
491,92124,San Diego,CA,San Diego County,"27,783"
497,95691,West Sacramento,CA,Yolo County,"27,722"
503,95835,Sacramento,CA,Sacramento County,"27,597"
521,95128,San Jose,CA,Santa Clara County,"27,078"
306,95403,Santa Rosa,CA,Sonoma County,"36,302"
315,94134,San Francisco,CA,San Francisco County,"35,875"
367,94526,Danville,CA,Contra Costa County,"32,942"
378,92806,Anaheim,CA,Orange County,"32,108"
382,92675,San Juan Capistrano,CA,Orange County,"32,052"
477,94549,Lafayette,CA,Contra Costa County,"28,299"
513,91206,Glendale,CA,Los Angeles County,"27,257"
558,91010,Duarte,CA,Los Angeles County,"25,275"
563,90249,Gardena,CA,Los Angeles County,"25,103"
578,93422,Atascadero,CA,San Luis Obispo County,"24,558"
327,94954,Petaluma,CA,Sonoma County,"35,134"
377,91773,San Dimas,CA,Los Angeles County,"32,178"
418,91711,Claremont,CA,Los Angeles County,"30,549"
502,91803,Alhambra,CA,Los Angeles County,"27,599"
406,90504,Torrance,CA,Los Angeles County,"30,955"
412,95833,Sacramento,CA,Sacramento County,"30,647"
461,93454,Santa Maria,CA,Santa Barbara County,"29,141"
571,95926,Chico,CA,Butte County,"24,866"
472,91746,La Puente,CA,Los Angeles County,"28,689"
478,94952,Petaluma,CA,Sonoma County,"28,251"
512,91601,North Hollywood,CA,Los Angeles County,"27,284"
596,95242,Lodi,CA,San Joaquin County,"23,982"
564,94063,Redwood City,CA,San Mateo County,"25,041"
421,94804,Richmond,CA,Contra Costa County,"30,446"
473,93705,Fresno,CA,Fresno County,"28,526"
533,94114,San Francisco,CA,San Francisco County,"26,272"
574,94062,Redwood City,CA,San Mateo County,"24,763"
580,93940,Monterey,CA,Monterey County,"24,549"
509,95476,Sonoma,CA,Sonoma County,"27,352"
562,94043,Mountain View,CA,Santa Clara County,"25,171"
450,92122,San Diego,CA,San Diego County,"29,539"
568,92405,San Bernardino,CA,San Bernardino County,"24,912"
597,91740,Glendora,CA,Los Angeles County,"23,977"
426,92545,Hemet,CA,Riverside County,"30,325"
